id,audit_request_id,candidate_index,setup_family,setup_taxonomy_enum,entry_branch,decision_state,analyst_decision_state,python_final_allow,final_resolver_reason,rejection_codes,historical_evidence_state,repeatability_status,repeatability_required_live,missing_required_evidence,missing_confirmations,reasons,summary,llm_quality_score
591813800_1788837043_120154281_1788837050_#Germany40_11885,,,micro_breaker_retest,,breaker_retest,ABSTAIN,,False,analyst_abstain_below_adjudication_floor,"[""ai_qualitative_consensus_abstain"", ""ai_abstain"", ""resolved_risk_multiplier_zero""]",AVAILABLE,INSUFFICIENT_SAMPLE,False,,"[""Stronger retest acceptance""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; The declared breaker sequence is present, but retest quality is poor and obstacle clearance is tight. This is insufficiently robust for live approval, without a decisive contradiction.', 'repeatability_authority': {'status': 'INSUFFICIENT_SAMPLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_insufficient_sample', 'group_key': '7796ace93c34b4...",,5.2
591813800_1788837043_120154281_1788837050_#USNDAQ100_9911,,,micro_session_reentry,,breaker_retest,REJECT,,False,,"[""synthetic_fallback_crossed_obstacle_blocked""]",INSUFFICIENT_SAMPLE,UNAVAILABLE,False,,[],reject=synthetic_fallback_crossed_obstacle_blocked; source=hard_pre_gate,,0.0
591813800_1788837043_120154281_1788837050_EURJPY_6953,,,micro_continuation_fvg,,continuation_reentry,ABSTAIN,,False,analyst_abstain_below_adjudication_floor,"[""ai_qualitative_consensus_abstain"", ""ai_abstain"", ""resolved_risk_multiplier_zero""]",AVAILABLE,INSUFFICIENT_SAMPLE,False,,"[""Clear trend context"", ""Clean continuation retest""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; ABSTAIN: required trend context is not clearly established and continuation confirmation is weak despite valid displacement and a virgin FVG.', 'repeatability_authority': {'status': 'INSUFFICIENT_SAMPLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_insufficient_sample', 'group_key': '7796ace93c34b44c9f1768a34c6392c71e2aeba87e6dc9a8a085ffcb3...",,5.2
591813800_1788837043_120154281_1788837050_USDJPY_6680,,,micro_continuation_fvg,,fvg_mid,ABSTAIN,,False,analyst_abstain_below_adjudication_floor,"[""ai_qualitative_consensus_abstain"", ""ai_abstain"", ""resolved_risk_multiplier_zero""]",AVAILABLE,INSUFFICIENT_SAMPLE,False,,"[""Cleaner continuation follow-through"", ""Structure confirmation""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; The required micro sequence is nominally present, but the observed state explicitly reports missing structure confirmation. The nearby fresh obstacle and unresolved target route make execution survival uncertain.', 'repeatability_authority': {'status': 'INSUFFICIENT_SAMPLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_insufficient_sample',...",,5.2
591813800_1788837043_120154281_1788837654_AUDJPY_27269,,,micro_continuation_fvg,,continuation_reentry,ABSTAIN,,False,qualitative_block_upheld,"[""ai_qualitative_consensus_reject"", ""resolved_risk_multiplier_zero""]",AVAILABLE,INSUFFICIENT_SAMPLE,False,,"[""Follow-through"", ""Obstacle clearance""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; Virgin FVG quality supports the thesis, but the fresh opposing obstacle lies only 0.097R away and the supplied liquidity RR is modest; the setup may fail before distribution develops.', 'repeatability_authority': {'status': 'INSUFFICIENT_SAMPLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_insufficient_sample', 'group_key': '7796ace93c34b44...",,5.9
591813800_1788837043_120154281_1788837654_NZDJPY_23250,,,micro_continuation_fvg,,fvg_mid,ABSTAIN,,False,analyst_abstain_below_adjudication_floor,"[""ai_qualitative_consensus_abstain"", ""ai_abstain"", ""resolved_risk_multiplier_zero""]",AVAILABLE,UNAVAILABLE,False,,"[""Clean continuation structure confirmation.""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; ABSTAIN: the required displacement and FVG are present, but structure confirmation is unresolved and the nearby opposing obstacle leaves follow-through and target selection execution-sensitive.', 'repeatability_authority': {'status': 'UNAVAILABLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_unavailable', 'artifact_state': 'missing_group',...",,4.8
591813800_1788837043_120154281_1788837654_USDJPY_4874,,,micro_continuation_fvg,,fvg_mid,ABSTAIN,,False,qualitative_block_upheld,"[""ai_qualitative_consensus_reject"", ""resolved_risk_multiplier_zero""]",AVAILABLE,UNAVAILABLE,False,,"[""Clean retest confirmation is weak."", ""Follow-through is not observed, but is optional for this family.""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; Approve at reduced size: the required trend context, continuation displacement, and virgin FVG entry are evidenced. Strong displacement and feasible targets offset weak retest quality, neutral HTF alignment, and non-killzone timing.', 'repeatability_authority': {'status': 'UNAVAILABLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_unavailabl...",,6.2
591813800_1788837043_120154281_1788838257_#Germany40_30263,,,micro_breaker_retest,,breaker_retest,REJECT,,False,analyst_reject,"[""missing_mandatory_evidence"", ""ai_qualitative_consensus_reject"", ""resolved_risk_multiplier_zero"", ""ai_veto"", ""ai_veto_missing_mandatory_evidence""]",AVAILABLE,INSUFFICIENT_SAMPLE,False,,"[""breaker formation"", ""clean retest""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; Reject: required breaker formation and clean retest evidence are unresolved, and the nearby opposing imbalance creates material post-entry failure risk.', 'repeatability_authority': {'status': 'INSUFFICIENT_SAMPLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_insufficient_sample', 'group_key': '7796ace93c34b44c9f1768a34c6392c71e2aeba87e6dc9...",,3.8
591813800_1788837043_120154281_1788838257_EURJPY_24190,,,micro_continuation_fvg,,continuation_reentry,ABSTAIN,,False,qualitative_dispute_unresolved,"[""ai_qualitative_consensus_abstain"", ""ai_abstain"", ""resolved_risk_multiplier_zero""]",AVAILABLE,INSUFFICIENT_SAMPLE,False,,"[""Cleaner continuation confirmation""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; The required micro sequence is not explicitly contradicted, but continuation evidence remains weak: retest quality and continuation score are low, structure confirmation is absent, and timing is outside the killzone.', 'repeatability_authority': {'status': 'INSUFFICIENT_SAMPLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_insufficient_sampl...",,5.4
591813800_1788837043_120154281_1788838258_CHFJPY_28291,,,micro_continuation_fvg,,fvg_mid,ABSTAIN,,False,analyst_abstain_below_adjudication_floor,"[""ai_qualitative_consensus_abstain"", ""ai_abstain"", ""resolved_risk_multiplier_zero""]",AVAILABLE,INSUFFICIENT_SAMPLE,False,,"[""Clearer trend confirmation""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; ABSTAIN: the continuation displacement and virgin FVG are valid, but structure confirmation and retest quality are weak, while applicable historical evidence is insufficient.', 'repeatability_authority': {'status': 'INSUFFICIENT_SAMPLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_insufficient_sample', 'group_key': '7796ace93c34b44c9f1768a3...",,5.2
591813800_1788837043_120154281_1788838258_USDJPY_25734,,,micro_continuation_fvg,,continuation_reentry,ABSTAIN,,False,analyst_abstain_below_adjudication_floor,"[""ai_qualitative_consensus_abstain"", ""ai_abstain"", ""resolved_risk_multiplier_zero""]",AVAILABLE,UNAVAILABLE,False,,"[""Clean continuation retest"", ""Structure confirmation""]","{'ai_reasons': 'provider=openai_remote_api; model=gpt-5.6-luna; tokens=25000; snapshots=0; The required micro sequence is observed, but continuation confirmation and retest quality are weak. Historical outcomes cannot be applied reliably across the mismatched asset-class prior, so abstention is safer.', 'repeatability_authority': {'status': 'UNAVAILABLE', 'score_threshold_authority': False, 'trading_eligible': False, 'reason': 'repeatability_unavailable', 'artifact_state':...",,5.0
