request_id,account,ea_session,symbol,server_time,session_code,killzone_code,action,final_category,final_category_detail,category,reason,events,prior_request_id,prior_age_minutes,ttl_minutes,decision_tier,decision_source,decision_state,python_final_allow,model_family,recorded,final_resolver_reason,adjudicator_ran,analyst_selected_state,consumed_sweep_all_candidates
591813800_1786576585_25279421_1786576625_#Cotton_V26_18939,591813800,591813800_1786576585_25279421,#Cotton_V26,1786576625,NY,K,CALL,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,,,,0.0,FULL_STRUCTURED,ai_rejected,REJECT,False,luna,stored,qualitative_block_upheld,True,REJECT,
591813800_1786578562_27257093_1786579498_#Cotton_V26_19977,591813800,591813800_1786578562_27257093,#Cotton_V26,1786579312,NY,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:python.model_id+python.provider_id+runtime_input_hash|killzone_transition,591813800_1786576585_25279421_1786576625_#Cotton_V26_18939,44.78333333333333,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1786578562_27257093_1786581343_#Cotton_V26_8072,591813800,591813800_1786578562_27257093,#Cotton_V26,1786581342,NY,NK,CALL,UNKNOWN,no_archived_decision,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:python.model_id+python.provider_id+runtime_input_hash|killzone_transition,591813800_1786576585_25279421_1786576625_#Cotton_V26_18939,78.61666666666666,0.0,,,,False,unknown,,,False,,
591813800_1786738700_96564671_1786739668_#Euro50_28292,591813800,591813800_1786738700_96564671,#Euro50,1786739667,OFF,NK,CALL,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,,,,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_block_upheld,True,ABSTAIN,
591813800_1786561284_9977718_1786561389_#France40_14748,591813800,591813800_1786561284_9977718,#France40,1786561388,OFF,NK,CALL,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,,,,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,other,stored,qualitative_dispute_unresolved,True,ABSTAIN,
591813800_1786689153_47015500_1786689239_#GerTech30_12473,591813800,591813800_1786689153_47015500,#GerTech30,1786689239,ASIA,NK,CALL,UNKNOWN,no_archived_decision,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,,,,0.0,,,,False,unknown,,,False,,
591813800_1786653910_11770718_1786653954_#Germany40_21338,591813800,591813800_1786653910_11770718,#Germany40,1786653954,OFF,NK,CALL,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,,,,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_block_upheld,True,ABSTAIN,
591813800_1786999708_97504390_1787007119_#Germany40_12345,591813800,591813800_1786999708_97504390,#Germany40,1787007119,OFF,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,request_state:is_buy+po3.has_follow_through+po3.htf_choch+po3.htf_mss+po3.liquidity_kind+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.sweep_side+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786653910_11770718_1786653954_#Germany40_21338,5886.083333333333,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_block_upheld,True,ABSTAIN,
591813800_1786999708_97504390_1787008042_#Germany40_10252,591813800,591813800_1786999708_97504390,#Germany40,1787008042,NY,K,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,session_transition|killzone_transition,591813800_1786999708_97504390_1787007119_#Germany40_12345,15.383333333333333,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_block_upheld,True,ABSTAIN,
591813800_1786999708_97504390_1787009887_#Germany40_23129,591813800,591813800_1786999708_97504390,#Germany40,1787009887,NY,K,CALL,OTHER_REQUIRED,borderline_prior_requires_fresh_review,OTHER_REQUIRED,borderline_prior_requires_fresh_review,,591813800_1786999708_97504390_1787008042_#Germany40_10252,30.75,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_block_upheld,True,ABSTAIN,
