[run] mode=live requests=60 arms=6 pairs_todo=360 pairs_skipped_ok=0
[bench] 591813800_1788925102_208218984_1788951947_AUDJPY_32618 luna_low_flex status=ok state=APPROVE elapsed=122.875s attempts=2
[bench] 591813800_1788925102_208218984_1788951947_AUDJPY_32618 muse_medium status=ok state=REJECT elapsed=131.675s attempts=1
[bench] 591813800_1788925102_208218984_1788951325_USDCHF_19925 luna_low_flex status=ok state=ABSTAIN elapsed=136.421s attempts=3
[bench] 903871_1789148402_173202328_1789151032_EURAUD_5869 luna_low_flex status=ok state=ABSTAIN elapsed=139.688s attempts=3
[bench] 903871_1788999394_24185000_1789004983_NAS100_9597 luna_low_flex status=ok state=ABSTAIN elapsed=144.138s attempts=3
[bench] 903871_1789148402_173202328_1789151032_EURAUD_5869 muse_minimal status=ok state=ABSTAIN elapsed=167.32s attempts=2
[bench] 903871_1788999394_24185000_1789004983_NAS100_9597 muse_minimal status=ok state=ABSTAIN elapsed=173.837s attempts=3
[bench] 591813800_1788925102_208218984_1788951947_AUDJPY_32618 muse_minimal status=ok state=APPROVE elapsed=196.627s attempts=2
[bench] 903871_1788999394_24185000_1789004983_NAS100_9597 muse_low status=ok state=ABSTAIN elapsed=197.536s attempts=2
[bench] 591813800_1788925102_208218984_1788951947_AUDJPY_32618 muse_low status=ok state=ABSTAIN elapsed=199.994s attempts=2
[bench] 591813800_1788925102_208218984_1788951325_USDCHF_19925 muse_minimal status=ok state=ABSTAIN elapsed=202.165s attempts=2
[bench] 903871_1789148402_173202328_1789151032_EURAUD_5869 muse_low status=ok state=ABSTAIN elapsed=206.935s attempts=2
[bench] 591813800_1788925102_208218984_1788951325_USDCHF_19925 muse_low status=ok state=REJECT elapsed=227.858s attempts=2
[bench] 591813800_1785715200_305658125_1785759967_BITCOIN_9173 luna_low_flex status=ok state=APPROVE elapsed=81.259s attempts=2
[bench] 591813800_1788925102_208218984_1788951325_USDCHF_19925 muse_medium status=ok state=ABSTAIN elapsed=298.148s attempts=2
[bench] 903871_1788999394_24185000_1789004983_NAS100_9597 muse_medium status=ok state=ABSTAIN elapsed=300.736s attempts=2
[bench] 903871_1789148402_173202328_1789151032_EURAUD_5869 muse_medium status=ok state=ABSTAIN elapsed=302.022s attempts=2
