id,audit_request_id,candidate_index,setup_family,setup_taxonomy_enum,entry_branch,decision_state,analyst_decision_state,python_final_allow,final_resolver_reason,rejection_codes,historical_evidence_state,repeatability_status,repeatability_required_live,missing_required_evidence,missing_confirmations,reasons,summary,llm_quality_score
,591813800_1788837043_120154281_1788837050_#Germany40_11885,0,,MICRO_BREAKER_RETEST,,ABSTAIN,ABSTAIN,False,,[],MIXED,,,[],"[""Stronger retest acceptance""]","The declared breaker sequence is present, but retest quality is poor and obstacle clearance is tight. This is insufficiently robust for live approval, without a decisive contradiction.","Breaker and virgin FVG evidence are present, but retest quality is very weak and the nearby opposing imbalance creates uncertain follow-through. Keep-current target is feasible, yet execution quality is unresolved.",5.2
,591813800_1788837043_120154281_1788837050_#Germany40_11885,1,,MICRO_SESSION_REENTRY,,REJECT,REJECT,False,,"[""THESIS_CONTRADICTION"", ""SEQUENCE_UNRESOLVED""]",ADVERSE,,,[],"[""Explicit session range identity"", ""Explicit session excursion"", ""Explicit session reentry""]","Reject: the session-reentry thesis is contradicted by expansion-dominant conditions, and the supplied state does not establish the required session-reentry sequence.","The required session sequence is not explicitly evidenced in the supplied candidate fields, while the market is strongly expansion-dominant. That directly conflicts with a session-reentry thesis and historical outcomes are adverse.",3.1
,591813800_1788837043_120154281_1788837050_#Germany40_11885,2,,MICRO_RANGE_REENTRY,,REJECT,REJECT,False,,"[""THESIS_CONTRADICTION"", ""SEQUENCE_UNRESOLVED""]",MIXED,,,[],"[""Explicit range identity"", ""Explicit range excursion"", ""Explicit range reentry""]","Reject: expansion-dominant conditions contradict the range-reentry thesis, and the supplied state does not establish the required range identity, excursion, and reentry sequence.","The range-reentry thesis requires compression and containment, but expansion strongly dominates. The supplied state also says structure confirmation is missing, so the setup is contradicted despite a feasible current target.",3.0
,591813800_1788837043_120154281_1788837050_EURJPY_6953,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],MIXED,,,"[""trend context""]","[""Clear trend context"", ""Clean continuation retest""]",ABSTAIN: required trend context is not clearly established and continuation confirmation is weak despite valid displacement and a virgin FVG.,"Virgin continuation FVG and strong displacement are present, but trend context is unresolved, retest quality is weak, and relevant analogues are mostly adverse. Abstain pending clearer structure.",5.2
,591813800_1788837043_120154281_1788837050_EURJPY_6953,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],MIXED,,,"[""trend context""]","[""Clear trend context"", ""Clean continuation retest""]","ABSTAIN: midpoint entry is technically valid, but required trend context is unresolved and the supplied sequence lacks structure confirmation.","Midpoint entry uses a fresh, valid continuation FVG with strong displacement, but trend context and continuation confirmation remain unresolved. Historical evidence is mostly adverse, so abstain.",5.0
,591813800_1788837043_120154281_1788837050_EURJPY_6953,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],MIXED,,,"[""trend context""]","[""Clear trend context"", ""Clean continuation retest""]","ABSTAIN: edge entry is valid but trend context is unresolved, retest quality is weak, and the available historical sample does not support confident follow-through.","Edge entry has a fresh valid FVG and strong displacement, but weak retest quality, unresolved trend context, and mostly adverse analogues make follow-through unclear. Abstain.",4.8
,591813800_1788837043_120154281_1788837050_USDJPY_6680,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner continuation follow-through"", ""Structure confirmation""]","The required micro sequence is nominally present, but the observed state explicitly reports missing structure confirmation. The nearby fresh obstacle and unresolved target route make execution survival uncertain.","Displacement and virgin continuation FVG support the thesis, but structure confirmation is absent and a fresh nearby obstacle complicates the target. Abstain pending clearer follow-through.",5.2
,591813800_1788837043_120154281_1788837050_USDJPY_6680,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner structure confirmation"", ""Demonstrated follow-through""]","The family requirements are not violated, but the observed sequence remains displacement-confirmed without structure confirmation. The supplied net RR below 1.0 leaves little tolerance for execution uncertainty.","The displacement and virgin FVG support continuation, but the continuation-reentry branch lacks structure confirmation and offers only 0.9519 net RR. Evidence is insufficient for a live approval.",4.7
,591813800_1788837043_120154281_1788837050_USDJPY_6680,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner structure confirmation"", ""Demonstrated follow-through""]","The edge entry remains structurally valid, but the observed sequence explicitly lacks structure confirmation and the supplied net RR is below 1.0. This is uncertainty, not a mandatory-evidence failure.","The edge branch has a fresh, unmitigated continuation FVG and strong displacement, but structure confirmation is absent and net RR is only 0.9519. Abstain rather than fund the setup.",4.5
,591813800_1788837043_120154281_1788837654_AUDJPY_27269,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Follow-through""]","The family sequence is not contradicted, but evidence is not strong enough for capital: retest quality is weak, structure confirmation is unresolved, and liquidity is blocked by a nearby obstacle.","Continuation displacement and valid FVG are present, but weak retest quality, absent follow-through, moderate alignment, and an obstructed target path make execution uncertain.",5.8
,591813800_1788837043_120154281_1788837654_AUDJPY_27269,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Follow-through""]","The continuation sequence is admissible for this micro family, but the touched FVG and weak retest do not establish a sufficiently reliable entry; target arbitration remains obstacle-sensitive.","The mid-entry thesis remains structurally valid, but touched mitigation, weak retest quality, absent follow-through, and a blocked path leave follow-through too uncertain to approve.",5.6
,591813800_1788837043_120154281_1788837654_AUDJPY_27269,3,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Follow-through"", ""Obstacle clearance""]","Virgin FVG quality supports the thesis, but the fresh opposing obstacle lies only 0.097R away and the supplied liquidity RR is modest; the setup may fail before distribution develops.","The virgin continuation FVG and displacement are favorable, but the obstacle is extremely close, liquidity RR is modest, and follow-through remains unconfirmed; execution cannot be approved.",5.9
,591813800_1788837043_120154281_1788837654_NZDJPY_23250,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clean continuation structure confirmation.""]","ABSTAIN: the required displacement and FVG are present, but structure confirmation is unresolved and the nearby opposing obstacle leaves follow-through and target selection execution-sensitive.","The displacement and continuation FVG are valid for this micro family, but unresolved structure confirmation, weak retest quality, and an immediate opposing obstacle make execution and follow-through uncertain.",4.8
,591813800_1788837043_120154281_1788837654_USDJPY_4874,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,APPROVE,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clean retest confirmation is weak."", ""Follow-through is not observed, but is optional for this family.""]","Approve at reduced size: the required trend context, continuation displacement, and virgin FVG entry are evidenced. Strong displacement and feasible targets offset weak retest quality, neutral HTF alignment, and non-killzone timing.","Virgin continuation FVG and strong displacement support the micro continuation thesis. Trend context is adequate, but timing, retest quality, and nearby obstruction warrant reduced risk.",6.2
,591813800_1788837043_120154281_1788838257_#Germany40_30263,0,,MICRO_BREAKER_RETEST,,REJECT,REJECT,False,,"[""missing_mandatory_evidence""]",MIXED,,,"[""breaker formation"", ""clean retest""]","[""breaker formation"", ""clean retest""]","Reject: required breaker formation and clean retest evidence are unresolved, and the nearby opposing imbalance creates material post-entry failure risk.","Reject: the micro breaker thesis is not adequately evidenced because formation and clean retest are unresolved, while nearby opposing structure weakens follow-through.",3.8
,591813800_1788837043_120154281_1788838257_#Germany40_30263,1,,MICRO_SESSION_REENTRY,,REJECT,REJECT,False,,"[""structural_contradiction"", ""missing_mandatory_evidence""]",ADVERSE,,,"[""session range identity"", ""session excursion"", ""session reentry""]","[""session range identity"", ""session excursion"", ""session reentry""]","Reject: expansion dominates compression, directly opposing a session-reentry thesis; the required session range, excursion, and reentry sequence is not evidenced.","Reject: the session-reentry thesis conflicts with an expansion-dominant regime, and the required session range, excursion, and reentry sequence is not explicitly shown.",3.4
,591813800_1788837043_120154281_1788838257_#Germany40_30263,2,,MICRO_RANGE_REENTRY,,REJECT,REJECT,False,,"[""structural_contradiction"", ""missing_mandatory_evidence""]",MIXED,,,"[""range identity"", ""range excursion"", ""range reentry""]","[""range identity"", ""range excursion"", ""range reentry""]","Reject: expansion dominates compression, contradicting the range-reentry thesis; range identity, excursion, and reentry are not explicitly established.","Reject: the range-reentry thesis is directly contradicted by expansion-dominant conditions, and the required range identity, excursion, and reentry sequence is unresolved.",2.8
