id,symbol,tax,critic,codes,objections,critic_summary,analyst_summary,analyst_missing,candidate_id,entry,fvg_lower,fvg_mid,fvg_upper,asset_class_payload,asset_class_candidate,target_source,target_model,tp_model,target_required,keep_current_available,liquidity_available,selected_target,adjudicator
591813800_1788837043_120154281_1788837654_USDJPY_4874,USDJPY,MICRO_CONTINUATION_FVG,BLOCK,ai_veto_target_arbitration_incoherent,"Target arbitration is explicitly required, but the execution target is 153.543 while the declared target model is next_liquidity_session_range and the deterministic liquidity level",The target selection and declared target model are inconsistent under a required arbitration step.,"Virgin continuation FVG and strong displacement support the micro continuation thesis. Trend context is adequate, but timing, retest quality, and nearby obstruction warrant reduced risk.",,USDJPY|0|1788832800|0|fvg_mid|154.098|fvg_mid|0,154.098,154.043,154.098,154.153,,fx,session_low,next_liquidity_session_range,session_low,True,True,True,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788843695_EURGBP_21646,EURGBP,MICRO_BREAKER_RETEST,BLOCK,ai_veto_data_integrity_failure,"The candidate's instrument asset class is empty while the bucket is keyed as fx, the prior artifact is metals, and cross-asset fallback is explicitly blocked. Historical analogues’","Asset-class identity and applicability are materially inconsistent, so the candidate cannot be independently validated.",Breaker retest and virgin FVG evidence support the micro thesis. Keep the feasible current target; nearby opposing imbalance and modest HTF alignment justify reduced risk.,,EURGBP|1788822000|1788829200|0|breaker_retest|0.85860|breaker_retest|0,0.85861,0.85858,0.858595,0.85861,,fx,asia_session_high,next_liquidity_session_range,asia_session_high,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788844903_#USNDAQ100_6702,#USNDAQ100,MICRO_OTE_REVERSAL,BLOCK,ai_veto_data_integrity_failure|ai_veto_target_arbitration_incoherent,"The instrument asset class is blank, while the bucket prior is for FX and explicitly mismatched to the available metals artifact; cross-asset fallback is blocked. Historical analog || Target arbitration is required, yet the declared session-high target uses a liquidity-or-synthetic target model while the liquidity target is explicitly blocked by an opposing-imb﻿",Candidate contains a material asset-class/prior integrity conflict and unresolved target arbitration.,"The OTE reversal sequence, displacement, valid touched FVG, and structural stop are coherent. Liquidity target is feasible with strong RR; risk remains from a nearby moderate obstacle and mixed history.",,#USNDAQ100|1788832800|1788836400|1788840000|ote_inside_fvg|29546.20|ote_inside_fvg|0,29552.77625,29532.45,29546.2,29559.95,,fx,session_high,liquidity_or_synthetic_rr,session_high,True,True,True,liquidity_target,UPHOLD_BLOCK
591813800_1788837043_120154281_1788845507_EURGBP_8273,EURGBP,MICRO_BREAKER_RETEST,ABSTAIN,,,"The supplied record confirms a breaker-retest classification and clean validation fields, but does not explicitly evidence the required breaker-formation event. Target arbitration is also required while the declared target model/source and-","Breaker retest thesis is supported by a fresh virgin structure and acceptable retest. Current target is feasible, but nearby opposing imbalance and moderate alignment justify reduced risk.",,EURGBP|1788822000|1788829200|0|breaker_retest|0.85860|breaker_retest|0,0.85861,0.85858,0.858595,0.85861,,fx,asia_session_high,next_liquidity_session_range,asia_session_high,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788849135_EURUSD_14486,EURUSD,MICRO_CONTINUATION_FVG,BLOCK,ai_veto_target_arbitration_incoherent,"Target arbitration is required, but the candidate identifies the target model as next_liquidity_session_range while the liquidity target is explicitly blocked and unavailable; the ",The selected target configuration is internally inconsistent with the deterministically available target candidates.,"Continuation thesis is supported by observed displacement, follow-through, valid continuation FVG, and LTF confirmation. Current target is feasible, but off-hours timing and nearby opposing imbalance reduce robustness.",,EURUSD|1788778800|1788811200|0|continuation_reentry|1.16268|continuation_reentry|0,1.1626,1.1626,1.162675,1.16275,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788849135_GBPUSD_29009,GBPUSD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_target_arbitration_incoherent,"Target arbitration is explicitly required, but the declared target model is next_liquidity_session_range while the target source and authoritative TP2 use prev_day_low; the nearer/",Blocking inconsistency between the declared target model and the selected target.,"Virgin breaker/FVG state and strong displacement support the retest thesis. Current target is feasible, but nearby opposing imbalance and modest HTF alignment limit conviction.",,GBPUSD|1788840000|1788843600|0|breaker_retest|1.35411|breaker_retest|0,1.35406,1.35406,1.354115,1.35417,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788850343_GBPUSD_14822,GBPUSD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_target_arbitration_incoherent,"The declared target model is next_liquidity_session_range, but the liquidity target is blocked and infeasible while the selected target source/TP2 is prev_day_low and the keep-c​​ ","Deterministic target designation is internally inconsistent: the declared model points to an unavailable blocked liquidity target, while the selected target price corresponds to prev_day_low.","Virgin breaker-retest structure with strong displacement, clean FVG state, feasible current target, and acceptable cost. Nearby opposing imbalance limits follow-through confidence.",,GBPUSD|1788840000|1788843600|0|breaker_retest|1.35411|breaker_retest|0,1.35406,1.35406,1.354115,1.35417,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788850946_EURUSD_4948,EURUSD,MICRO_CONTINUATION_FVG,BLOCK,ai_veto_target_arbitration_incoherent,"Target arbitration is explicitly required, but the candidate identifies the target source/model as prev_day_low/next_liquidity_session_range while the liquidity target is blocked;ূ",Block due to unresolved and internally inconsistent target arbitration.,"Continuation displacement, follow-through, and a fresh mitigated continuation FVG are present. Keep-current target is feasible, but OFF_HOURS, weak HTF alignment, and nearby obstruction warrant reduced risk.",,EURUSD|1788778800|1788811200|0|continuation_reentry|1.16268|continuation_reentry|0,1.162675,1.1626,1.162675,1.16275,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788850946_GBPUSD_25499,GBPUSD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_data_integrity_failure|ai_veto_target_arbitration_incoherent|ai_veto_execution_plan_mismatch,"Asset class is blank while the bucket prior is unavailable for FX and its artifact asset class is metals; historical evidence is marked available despite null asset-class fields,3s || The declared target model is next_liquidity_session_range, but the selected target source is prev_day_low; the liquidity target is explicitly blocked by an obstacle, requiring an:  || The execution target fields and target-candidate arbitration do not identify one consistent feasible target plan.",BLOCK: asset-class/history integrity and target selection are internally inconsistent.,"Breaker-retet thesis is supported by ordered sweep, displacement, BOS, virgin FVG, and valid current target. Nearby obstruction and moderate retest quality justify reduced risk.",,GBPUSD|1788840000|1788843600|1788847200|breaker_retest|1.35411|breaker_retest|0,1.35406,1.35406,1.354115,1.35417,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788852155_GBPUSD_32620,GBPUSD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_missing_mandatory_evidence|ai_veto_data_integrity_failure,"The required sequence includes breaker formation and clean retest, but the supplied catalog does not explicitly evidence those events; it only identifies the branch and provides a  || The candidate is GBPUSD with an empty asset-class field, while its historical evidence is marked available despite asset-class applicability being unresolved.","Mandatory family sequence evidence is not explicitly established, and asset-class applicability is unresolved.","Breaker retest thesis is supported by ordered source, displacement, BOS, virgin FVG, and valid current target. Moderate retest quality and nearby obstruction warrant conservative sizing.",,GBPUSD|1788840000|1788843600|1788847200|breaker_retest|1.35411|breaker_retest|0,1.35406,1.35406,1.354115,1.35417,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
