role,output_field,n_samples,visible_tokens_avg,visible_tokens_p50,visible_tokens_p95,consumer_category,examples
analyst,target_arbitration,36,464.184,464.744,512.338,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""{\""arbitration_required\"":true,\""blocker_class\"":\""moderate\"",\""blocker_is_trade_killer\"":false,\""blocker_kind\"":\""crossed_htf_opposing_imbalance\"",\""blocker_severity\"":5.1,\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""{\""arbitration_required\"":true,\""blocker_class\"":\""major\"",\""blocker_is_trade_killer\"":false,\""blocker_kind\"":\""crossed_opposing_imbalance\"",\""blocker_severity\"":6.4,\""chosen_""}]"
critic,evidence_refs,36,194.931,190.3,239.114,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[\""sequence.has_displacement\"",\""sequence.has_sweep\"",\""sequence.t_bos\"",\""sequence.t_disp\"",\""sequence.t_sweep\"",\""validation.hard_blockers\"",\""entry_and_invalidation.candi""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[\""sequence.has_bos\"",\""sequence.has_sweep\"",\""sequence.t_bos\"",\""sequence.t_sweep\"",\""validation.hard_blockers\"",\""validation.missing_fields\"",\""entry_and_invalidation.cand""}]"
analyst,evidence_refs,36,168.337,166.3,237.411,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[\""sequence.daily_bias_dir\"",\""sequence.h4_bias_dir\"",\""market_regime.expansion_score\"",\""entry_and_invalidation.candidates.0.obstacle_kind\"",\""entry_and_invalidation.ca""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[\""sequence.displacement_score\"",\""sequence.has_sweep\"",\""sequence.htf_bos\"",\""entry_and_invalidation.candidates.0.obstacle_kind\"",\""entry_and_invalidation.candidates.0.""}]"
adjudicator,evidence_refs,7,145.231,145.413,167.383,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[\""sequence.daily_bias_dir\"",\""sequence.h4_bias_dir\"",\""validation.hard_blockers\"",\""entry_and_invalidation.candidates.0.obstacle_kind\"",\""entry_and_invalidation.candida""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[\""entry_and_invalidation.candidates.0.retest_quality_score\"",\""entry_and_invalidation.candidates.0.authoritative_numbers.obstacle_distance_r.value\"",\""entry_and_inv""}]"
analyst,major_risks,36,42.446,40.595,60.753,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[\""Virgin HTF opposing imbalance 0.22R ahead blocks path\"",\""Bullish reversal vs daily and H4 bearish bias\"",\""Weak origin 1.95 and retest 1.06 quality\"",\""Negative me""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[\""Fresh LTF opposing imbalance 0.16R blocks TP1 path\"",\""Retest quality 1.0 very weak\"",\""No usable history for FX asset class\""]""}]"
adjudicator,resolution_reason,7,34.108,35.559,41.846,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""Uphold ABSTAIN: pending OTE trigger with virgin HTF obstacle 0.22R ahead and bearish HTF bias; critic PASS confirms structure but gives no approval edge.\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""No critic blocks to resolve; ABSTAIN upheld due to insufficient repeatability authority and pending weak retest with near obstacle.\""""}]"
analyst,summary,36,33.394,33.036,40.455,telemetry_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""MICRO_OTE_REVERSAL virgin FVG with confirmed sweep displacement OTE. Immediate virgin HTF gap 0.22R ahead, bearish HTF bias, weak origin. Staged pending trigge""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""Micro breaker retest with confirmed breaker virgin FVG and strong displacement but fresh opposing imbalance 0.16R ahead blocks even TP1 and history insufficien""}]"
analyst,reasons,36,30.983,31.636,36.676,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""Sequence complete virgin OTE but HTF obstacle 0.22R ahead plus bearish daily bias and weak origin retest. Pending retracement only; no edge to approve.\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""Breaker thesis intact virgin FVG displacement strong but immediate 0.16R virgin obstacle blocks TP1 and retest quality 1.0 with no FX history prevents approval""}]"
critic,summary,36,26.876,26.811,34.388,telemetry_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""Approvals confirmed, sequence ordered, FVG virgin valid, branch matched, keep_current target coherent, no hard blockers.\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""Sweep-displacement-BOS ordered, virgin FVG intact, required breaker events confirmed, keep_current target coherent, no hard blockers.\""""}]"
adjudicator,candidate_id,7,24.039,24.765,25.4,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""GOLD|1785517200|1785528000|1785718800|ote_inside_fvg|4034.56|ote_inside_fvg|0\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""BITCOIN|1785657600|1785668400|1785672000|breaker_retest|63440.50|breaker_retest|0\""""}]"
